,Date,Current Face Value
0,2012-05-16,858228906376.64
1,2012-05-23,864985369218.82
2,2012-05-30,851749604925.76
3,2012-06-06,851758604859.15
4,2012-06-13,867934494353.6599
5,2012-06-20,868038197560.2501
6,2012-06-27,854979258401.9298
7,2012-07-04,0.0
8,2012-07-11,855054201475.04
9,2012-07-18,863015156136.2001
10,2012-07-25,853362386958.8198
11,2012-08-01,853478386789.3499
12,2012-08-08,853493387001.43
13,2012-08-15,854154758087.99
14,2012-08-22,859310286132.8999
15,2012-08-29,843596548000.66
16,2012-09-05,843709540075.1499
17,2012-09-12,843729538289.2601
18,2012-09-19,850141807934.6699
19,2012-09-26,834978644213.79
20,2012-10-03,834991580608.23
21,2012-10-10,835004533554.0101
22,2012-10-17,862304433876.4501
23,2012-10-24,868069036040.2998
24,2012-10-31,852038538169.05
25,2012-11-07,852062537980.01
26,2012-11-14,889020319995.01
27,2012-11-21,900582878974.7101
28,2012-11-28,883538793585.6901
29,2012-12-05,883645790551.4
30,2012-12-12,928801445033.14
31,2012-12-19,933391148400.5698
32,2012-12-26,926558157820.3201
33,2013-01-02,926691158750.0101
34,2013-01-09,926712155466.81
35,2013-01-16,947607862329.1501
36,2013-01-23,983174281291.31
37,2013-01-30,965783875515.4701
38,2013-02-06,965882875416.37
39,2013-02-13,1009665924801.6301
40,2013-02-20,1032711712814.8502
41,2013-02-27,1015914005565.0299
42,2013-03-06,1015942840267.1602
43,2013-03-13,1060868784412.2902
44,2013-03-20,1085507308409.41
45,2013-03-27,1070931911418.1702
46,2013-04-03,1070973863157.12
47,2013-04-10,1071083665976.98
48,2013-04-17,1126118681680.06
49,2013-04-24,1136006964117.1897
50,2013-05-01,1121534640689.97
51,2013-05-08,1121551636767.5098
52,2013-05-15,1150494228269.69
53,2013-05-22,1178785252726.3699
54,2013-05-29,1164933852826.47
55,2013-06-05,1164990791885.92
56,2013-06-12,1165007791382.8
57,2013-06-19,1208980627329.3
58,2013-06-26,1208115649214.9802
59,2013-07-03,1208135647838.5398
60,2013-07-10,1208151647477.7002
61,2013-07-17,1234537182455.38
62,2013-07-24,1260928065891.0198
63,2013-07-31,1246964091084.9102
64,2013-08-07,1246964086318.01
65,2013-08-14,1299830964028.2402
66,2013-08-21,1303188526489.17
67,2013-08-28,1291341091221.0898
68,2013-09-04,1291395090332.3396
69,2013-09-11,1291478090530.26
70,2013-09-18,1339771052362.6199
71,2013-09-25,1342004140734.7004
72,2013-10-02,1342133138386.39
73,2013-10-09,1342159138397.2197
74,2013-10-16,1387748244562.36
75,2013-10-23,1400670873317.2695
76,2013-10-30,1393687285424.79
77,2013-11-06,1393694285163.68
78,2013-11-13,1434553167040.0999
79,2013-11-20,1433885697500.51
80,2013-11-27,1439854136444.5298
81,2013-12-04,1439864136333.05
82,2013-12-11,1482966222692.7795
83,2013-12-18,1485406510550.5798
84,2013-12-25,0.0
85,2014-01-01,0.0
86,2014-01-08,1490166691359.4402
87,2014-01-15,1525204428524.2302
88,2014-01-22,1539466973053.59
89,2014-01-29,1532223677563.02
90,2014-02-05,1532230677562.8896
91,2014-02-12,1532241677263.8103
92,2014-02-19,1568685535863.14
93,2014-02-26,1570066504655.56
94,2014-03-05,1570118503265.8203
95,2014-03-12,1570128503009.51
96,2014-03-19,1602984154242.5103
97,2014-03-26,1603103964065.0498
98,2014-04-02,1603107963862.12
99,2014-04-09,1603107963830.91
100,2014-04-16,1632629400319.85
101,2014-04-23,1639134300795.8398
102,2014-04-30,1631874947133.29
103,2014-05-07,1631874946713.6301
104,2014-05-14,1656029649933.63
105,2014-05-21,1655815144382.4004
106,2014-05-28,1647981821803.39
107,2014-06-04,1647982821593.48
108,2014-06-11,1648002821337.55
109,2014-06-18,1668385963521.5898
110,2014-06-25,1663896913770.94
111,2014-07-02,1663900912595.9
112,2014-07-09,1663900912598.3398
113,2014-07-16,1676976096911.8499
114,2014-07-23,1684264854755.4402
115,2014-07-30,1674363288515.9404
116,2014-08-06,1674363288527.68
117,2014-08-13,1688571150165.3098
118,2014-08-20,1681901263494.7698
119,2014-08-27,1678312026676.4697
120,2014-09-03,1678316026805.89
121,2014-09-10,1678322017252.0203
122,2014-09-17,1700497297405.06
123,2014-09-24,1706282030869.3
124,2014-10-01,1696423697608.6199
125,2014-10-08,1696425697603.07
126,2014-10-15,1713478428546.0498
127,2014-10-22,1715444800722.71
128,2014-10-29,1717887511791.7
129,2014-11-05,1717895511760.72
130,2014-11-12,1717895507537.45
131,2014-11-19,1734888503570.2402
132,2014-11-26,1729789998213.5698
133,2014-12-03,1729803997813.7703
134,2014-12-10,1729816001073.0205
135,2014-12-17,1741957124064.4597
136,2014-12-24,1747376592517.56
137,2014-12-31,1736832491376.7595
138,2015-01-07,1736838932765.9902
139,2015-01-14,1751733533507.5898
140,2015-01-21,1750532479320.4702
141,2015-01-28,1738671947082.69
142,2015-02-04,1738679945781.1604
143,2015-02-11,1738695924761.93
144,2015-02-18,1749026676689.1802
145,2015-02-25,1740207570123.18
146,2015-03-04,1740224804768.8896
147,2015-03-11,1740251779576.6296
148,2015-03-18,1745914073908.6096
149,2015-03-25,1731908776412.7495
150,2015-04-01,1731928410023.5896
151,2015-04-08,1731930405765.46
152,2015-04-15,1734434265593.98
153,2015-04-22,1737069709211.39
154,2015-04-29,1718849861348.1406
155,2015-05-06,1718859772363.3298
156,2015-05-13,1743839777055.0295
157,2015-05-20,1737462574256.69
158,2015-05-27,1722434155204.9001
159,2015-06-03,1722436005974.7502
160,2015-06-10,1722437009115.0298
161,2015-06-17,1740877141501.1902
162,2015-06-24,1746393088225.0002
163,2015-07-01,1732060388572.13
164,2015-07-08,1732060399996.93
165,2015-07-15,1743807393863.32
166,2015-07-22,1749460353171.4897
167,2015-07-29,1734833937704.1501
168,2015-08-05,1734860936102.67
169,2015-08-12,1734883917339.6501
170,2015-08-19,1748074695820.1902
171,2015-08-26,1736611827701.36
172,2015-09-02,1736683816617.9102
173,2015-09-09,1736705803586.2998
174,2015-09-16,1745119434095.97
175,2015-09-23,1752619040278.7397
176,2015-09-30,1741233359690.37
177,2015-10-07,1741249359414.6099
178,2015-10-14,1756488265834.1597
179,2015-10-21,1755196961971.14
180,2015-10-28,1744091371418.4102
181,2015-11-04,1744102371055.0696
182,2015-11-11,0.0
183,2015-11-18,1753503188165.0798
184,2015-11-25,1744789362596.2102
185,2015-12-02,1744789362155.82
186,2015-12-09,1744796362810.4905
187,2015-12-16,1753156715943.2397
188,2015-12-23,1757757418125.4302
189,2015-12-30,1747466705997.4902
190,2016-01-06,1747466705144.7102
191,2016-01-13,1760601589348.92
192,2016-01-20,1750275340881.7505
