"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2020-03-18","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"61249032744.58",,,,,,"Y"
"2020-03-18","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"42357916350.86",,,,,,"Y"
"2020-03-18","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"30331820573.98",,,,,,"Y"
"2020-03-18","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"30062661057.54",,,,,,"Y"
"2020-03-18","'3138ETKF2'","MBS","UMBS MORTPASS 3% 02/44","30yr",,,,,"26738434463.88",,,,,,"Y"
"2020-03-18","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"26239032474.83",,,,,,"Y"
"2020-03-18","'3140J8GW7'","MBS","UMBS MORTPASS 3.5% 10/47","30yr",,,,,"22637532759.72",,,,,,"Y"
"2020-03-18","'31335CJN5'","MBS","FHLMCGLD 3.5% 01/48","30yr",,,,,"19757072561.97",,,,,,"Y"
"2020-03-18","'31335BQW9'","MBS","FHLMCGLD 3.5% 09/47","30yr",,,,,"19568250761.25",,,,,,"Y"
"2020-03-18","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"18552030162.56",,,,,,"Y"
"2020-03-18","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"18512513723.16",,,,,,"Y"
"2020-03-18","'3140J8BU6'","MBS","UMBS MORTPASS 3.5% 12/46","30yr",,,,,"18217206898.64",,,,,,"Y"
"2020-03-18","'3140X5R70'","MBS","UMBS MORTPASS 3.5% 03/49","30yr",,,,,"17410304733.99",,,,,,"Y"
"2020-03-18","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"16195401032.13",,,,,,"Y"
"2020-03-18","'3138ETKG0'","MBS","UMBS MORTPASS 3% 01/43","30yr",,,,,"14606581076.59",,,,,,"Y"
"2020-03-18","'3138ETP75'","MBS","UMBS MORTPASS 3.5% 12/45","30yr",,,,,"13487400616.47",,,,,,"Y"
"2020-03-18","'3140X5EA7'","MBS","UMBS MORTPASS 4% 02/48","30yr",,,,,"13457639343.48",,,,,,"Y"
"2020-03-18","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"13357031922.22",,,,,,"Y"
"2020-03-18","'3138ETKK1'","MBS","UMBS MORTPASS 3.5% 01/44","30yr",,,,,"13020540202.48",,,,,,"Y"
"2020-03-18","'3138ETE44'","MBS","UMBS MORTPASS 3.5% 05/43","30yr",,,,,"12312489592.95",,,,,,"Y"
"2020-03-18","'31335CJP0'","MBS","FHLMCGLD 4% 02/48","30yr",,,,,"11802753286.24",,,,,,"Y"
"2020-03-18","'3138ETP26'","MBS","UMBS MORTPASS 3.5% 09/45","30yr",,,,,"10369335256.92",,,,,,"Y"
"2020-03-18","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"9239713546.74",,,,,,""
"2020-03-18","'3140J8BW2'","MBS","UMBS MORTPASS 2.5% 02/32","15yr",,,,,"8807667856.37",,,,,,"Y"
"2020-03-18","'3138ETKL9'","MBS","UMBS MORTPASS 4% 03/44","30yr",,,,,"8547487042.24",,,,,,"Y"
"2020-03-18","'3138ETE51'","MBS","UMBS MORTPASS 3.5% 06/43","30yr",,,,,"8356372588.72",,,,,,"Y"
"2020-03-18","'3138ETP34'","MBS","UMBS MORTPASS 3.5% 07/45","30yr",,,,,"8111307376.01",,,,,,"Y"
"2020-03-18","'3138ETKH8'","MBS","UMBS MORTPASS 3.5% 01/43","30yr",,,,,"7960704239.81",,,,,,"Y"
"2020-03-18","'3138ETK39'","MBS","UMBS MORTPASS 3.5% 05/45","30yr",,,,,"7767512648.15",,,,,,"Y"
"2020-03-18","'3140X5KQ5'","MBS","UMBS MORTPASS 3% 06/33","15yr",,,,,"7585586073.39",,,,,,"Y"
"2020-03-18","'3138ETP83'","MBS","UMBS MORTPASS 3% 01/46","30yr",,,,,"7503176756.73",,,,,,"Y"
"2020-03-18","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"7368844527.94",,,,,,"Y"
"2020-03-18","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"7283880717.39",,,,,,"Y"
